claim_id,file_line,value,macro_or_literal,provenance,configuration,status,claim_context
CL0440,presentations/v6/talk_v6.tex:674,2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:674,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,\begin{frame}{Oracle vs Global: The Deployment Cost}       \textbf{Gap (mean)} & \multicolumn{2}{c}{\textbf{3.4 ps}} \\
CL0441,presentations/v6/talk_v6.tex:674,3.4,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:674,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,\begin{frame}{Oracle vs Global: The Deployment Cost}       \textbf{Gap (mean)} & \multicolumn{2}{c}{\textbf{3.4 ps}} \\
CL0442,presentations/v6/talk_v6.tex:677,20,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:677,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}     \footnotesize All ps. $N_\text{TOP}=20$, EJ-230.\\[6pt]"
CL0443,presentations/v6/talk_v6.tex:678,3.4,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:678,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}     The 3.4 ps gap is the cost of deploying fixed $k=3,m=8$ parameters across all positions.\\[4pt]"
CL0444,presentations/v6/talk_v6.tex:678,3,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:678,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}     The 3.4 ps gap is the cost of deploying fixed $k=3,m=8$ parameters across all positions.\\[4pt]"
CL0445,presentations/v6/talk_v6.tex:678,8,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:678,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}     The 3.4 ps gap is the cost of deploying fixed $k=3,m=8$ parameters across all positions.\\[4pt]"
CL0446,presentations/v6/talk_v6.tex:679,0,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:679,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}     \alert{At $x=0$: global = oracle ($k^*=3$, $m^*=8$).}\\"
CL0447,presentations/v6/talk_v6.tex:679,3,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:679,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}     \alert{At $x=0$: global = oracle ($k^*=3$, $m^*=8$).}\\"
CL0448,presentations/v6/talk_v6.tex:679,8,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:679,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}     \alert{At $x=0$: global = oracle ($k^*=3$, $m^*=8$).}\\"
CL0449,presentations/v6/talk_v6.tex:680,2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:680,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,\begin{frame}{Oracle vs Global: The Deployment Cost}     Peaks at $x=\pm200\mm$ ($k^*=2$) and $x=\pm500\mm$ ($k^*=1$): global $k=3$ is suboptimal there.\\[3pt]
CL0450,presentations/v6/talk_v6.tex:680,1,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:680,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,\begin{frame}{Oracle vs Global: The Deployment Cost}     Peaks at $x=\pm200\mm$ ($k^*=2$) and $x=\pm500\mm$ ($k^*=1$): global $k=3$ is suboptimal there.\\[3pt]
CL0451,presentations/v6/talk_v6.tex:680,3,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:680,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,\begin{frame}{Oracle vs Global: The Deployment Cost}     Peaks at $x=\pm200\mm$ ($k^*=2$) and $x=\pm500\mm$ ($k^*=1$): global $k=3$ is suboptimal there.\\[3pt]
CL0452,presentations/v6/talk_v6.tex:681,0,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:681,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}     {\footnotesize $\sigma_B(x{=}0)=15.0\ps$ (v5, \texttt{np.var} weights) vs $15.21\ps$ (best-estimate IQR weights); definitional, see App.~G2.}"
CL0453,presentations/v6/talk_v6.tex:681,15.0,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:681,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}     {\footnotesize $\sigma_B(x{=}0)=15.0\ps$ (v5, \texttt{np.var} weights) vs $15.21\ps$ (best-estimate IQR weights); definitional, see App.~G2.}"
CL0454,presentations/v6/talk_v6.tex:681,15.21,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:681,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}     {\footnotesize $\sigma_B(x{=}0)=15.0\ps$ (v5, \texttt{np.var} weights) vs $15.21\ps$ (best-estimate IQR weights); definitional, see App.~G2.}"
CL0455,presentations/v6/talk_v6.tex:690,-600,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:690,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}       $-600$ & $(2,10)$ \\"
CL0456,presentations/v6/talk_v6.tex:690,2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:690,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}       $-600$ & $(2,10)$ \\"
CL0457,presentations/v6/talk_v6.tex:690,10,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:690,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}       $-600$ & $(2,10)$ \\"
CL0458,presentations/v6/talk_v6.tex:691,-500,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:691,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}       $-500$ & $(1,11)$ \\"
CL0459,presentations/v6/talk_v6.tex:691,1,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:691,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}       $-500$ & $(1,11)$ \\"
CL0460,presentations/v6/talk_v6.tex:691,11,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:691,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}       $-500$ & $(1,11)$ \\"
CL0461,presentations/v6/talk_v6.tex:692,0,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:692,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}       $0$    & $(3,8)$  \\"
CL0462,presentations/v6/talk_v6.tex:692,3,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:692,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}       $0$    & $(3,8)$  \\"
CL0463,presentations/v6/talk_v6.tex:692,8,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:692,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}       $0$    & $(3,8)$  \\"
CL0464,presentations/v6/talk_v6.tex:693,+500,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:693,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}       $+500$ & $(1,5)$  \\"
CL0465,presentations/v6/talk_v6.tex:693,1,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:693,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}       $+500$ & $(1,5)$  \\"
CL0466,presentations/v6/talk_v6.tex:693,5,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:693,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}       $+500$ & $(1,5)$  \\"
CL0467,presentations/v6/talk_v6.tex:694,+600,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:694,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}       $+600$ & $(2,5)$  \\"
CL0468,presentations/v6/talk_v6.tex:694,2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:694,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}       $+600$ & $(2,5)$  \\"
CL0469,presentations/v6/talk_v6.tex:694,5,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:694,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,"\begin{frame}{Oracle vs Global: The Deployment Cost}       $+600$ & $(2,5)$  \\"
CL0470,presentations/v6/talk_v6.tex:699,1,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:699,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,\begin{frame}{Oracle vs Global: The Deployment Cost}     $k^*=1$ (first photon) at bar edges where TOP photons arrive sparsely.
CL0471,presentations/v6/talk_v6.tex:700,3,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:700,Context: {frame}{Oracle vs Global: The Deployment Cost},unverified,\begin{frame}{Oracle vs Global: The Deployment Cost}     $k^*=3$ at bar center where $N_\text{TOP}$ pool is densest.
CL0472,presentations/v6/talk_v6.tex:716,4,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:716,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       4  & 20 & 1 & 78.2 & 45.3 \\
CL0473,presentations/v6/talk_v6.tex:716,20,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:716,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       4  & 20 & 1 & 78.2 & 45.3 \\
CL0474,presentations/v6/talk_v6.tex:716,1,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:716,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       4  & 20 & 1 & 78.2 & 45.3 \\
CL0475,presentations/v6/talk_v6.tex:716,78.2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:716,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       4  & 20 & 1 & 78.2 & 45.3 \\
CL0476,presentations/v6/talk_v6.tex:716,45.3,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:716,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       4  & 20 & 1 & 78.2 & 45.3 \\
CL0477,presentations/v6/talk_v6.tex:717,8,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:717,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       8  & 24 & 1 & 32.0 & 32.2 \\
CL0478,presentations/v6/talk_v6.tex:717,24,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:717,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       8  & 24 & 1 & 32.0 & 32.2 \\
CL0479,presentations/v6/talk_v6.tex:717,1,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:717,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       8  & 24 & 1 & 32.0 & 32.2 \\
CL0480,presentations/v6/talk_v6.tex:717,32.0,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:717,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       8  & 24 & 1 & 32.0 & 32.2 \\
CL0481,presentations/v6/talk_v6.tex:717,32.2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:717,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       8  & 24 & 1 & 32.0 & 32.2 \\
CL0482,presentations/v6/talk_v6.tex:718,14,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:718,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       14 & 30 & 2 & 18.7 & 18.4 \\
CL0483,presentations/v6/talk_v6.tex:718,30,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:718,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       14 & 30 & 2 & 18.7 & 18.4 \\
CL0484,presentations/v6/talk_v6.tex:718,2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:718,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       14 & 30 & 2 & 18.7 & 18.4 \\
CL0485,presentations/v6/talk_v6.tex:718,18.7,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:718,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       14 & 30 & 2 & 18.7 & 18.4 \\
CL0486,presentations/v6/talk_v6.tex:718,18.4,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:718,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       14 & 30 & 2 & 18.7 & 18.4 \\
CL0487,presentations/v6/talk_v6.tex:719,20,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:719,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       \textbf{20} & \textbf{36} & \textbf{3} & \textbf{15.2} & \textbf{15.0} \\
CL0488,presentations/v6/talk_v6.tex:719,36,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:719,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       \textbf{20} & \textbf{36} & \textbf{3} & \textbf{15.2} & \textbf{15.0} \\
CL0489,presentations/v6/talk_v6.tex:719,3,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:719,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       \textbf{20} & \textbf{36} & \textbf{3} & \textbf{15.2} & \textbf{15.0} \\
CL0490,presentations/v6/talk_v6.tex:719,15.2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:719,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       \textbf{20} & \textbf{36} & \textbf{3} & \textbf{15.2} & \textbf{15.0} \\
CL0491,presentations/v6/talk_v6.tex:719,15.0,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:719,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}       \textbf{20} & \textbf{36} & \textbf{3} & \textbf{15.2} & \textbf{15.0} \\
CL0492,presentations/v6/talk_v6.tex:722,8,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:722,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,"\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}     \footnotesize All $\sigma$ in ps. $m=8$, EJ-230, $x=0$. $N_\text{ch} = 16+N_\text{TOP}$.\\[6pt]"
CL0493,presentations/v6/talk_v6.tex:722,0,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:722,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,"\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}     \footnotesize All $\sigma$ in ps. $m=8$, EJ-230, $x=0$. $N_\text{ch} = 16+N_\text{TOP}$.\\[6pt]"
CL0494,presentations/v6/talk_v6.tex:722,16,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:722,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,"\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}     \footnotesize All $\sigma$ in ps. $m=8$, EJ-230, $x=0$. $N_\text{ch} = 16+N_\text{TOP}$.\\[6pt]"
CL0495,presentations/v6/talk_v6.tex:723,0,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:723,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}     END-only ($N_\text{TOP}=0$): $\sigma \approx 50.5\ps$.\\[4pt]
CL0496,presentations/v6/talk_v6.tex:723,50.5,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:723,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}     END-only ($N_\text{TOP}=0$): $\sigma \approx 50.5\ps$.\\[4pt]
CL0497,presentations/v6/talk_v6.tex:724,50.5,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:724,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}     Adding TOP SiPMs: $50.5 \to 45.3 \to 32.2 \to 18.4 \to 15.0\ps$.
CL0498,presentations/v6/talk_v6.tex:724,45.3,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:724,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}     Adding TOP SiPMs: $50.5 \to 45.3 \to 32.2 \to 18.4 \to 15.0\ps$.
CL0499,presentations/v6/talk_v6.tex:724,32.2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:724,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}     Adding TOP SiPMs: $50.5 \to 45.3 \to 32.2 \to 18.4 \to 15.0\ps$.
CL0500,presentations/v6/talk_v6.tex:724,18.4,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:724,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}     Adding TOP SiPMs: $50.5 \to 45.3 \to 32.2 \to 18.4 \to 15.0\ps$.
CL0501,presentations/v6/talk_v6.tex:724,15.0,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:724,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}     Adding TOP SiPMs: $50.5 \to 45.3 \to 32.2 \to 18.4 \to 15.0\ps$.
CL0502,presentations/v6/talk_v6.tex:727,\includegraphics[width=\linewidth]{figs/#1},\anafig,No independently matching source located; deck declaration only: presentations/v6/talk_v6.tex:20,Configuration not established from an independent source,unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}     \anafig{v5_pareto}\\[2pt]
CL0503,presentations/v6/talk_v6.tex:728,14,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:728,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}     \footnotesize $\sigma_\text{BLUE}$ vs $N_\text{ch}$. Elbow at $N_\text{TOP}=14$ ($N_\text{ch}=30$).
CL0504,presentations/v6/talk_v6.tex:728,30,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:728,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}     \footnotesize $\sigma_\text{BLUE}$ vs $N_\text{ch}$. Elbow at $N_\text{TOP}=14$ ($N_\text{ch}=30$).
CL0505,presentations/v6/talk_v6.tex:729,20,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:729,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}     20 TOP channels for last 3.4 ps gain (unrelated to the S17 oracle gap).
CL0506,presentations/v6/talk_v6.tex:729,3.4,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:729,Context: {frame}{$N_{TOP}$ Scan: Physical Geometry Simulations},unverified,\begin{frame}{$N_\text{TOP}$ Scan: Physical Geometry Simulations}     20 TOP channels for last 3.4 ps gain (unrelated to the S17 oracle gap).
CL0507,presentations/v6/talk_v6.tex:742,2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:742,Context: {frame}{Position Measurement: END $ t$ is the Right Method},unverified,"\begin{frame}{Position Measurement: END $\Delta t$ is the Right Method}       x_\text{rec} = \frac{v_\text{eff}}{2}\cdot\Delta t,\quad"
CL0508,presentations/v6/talk_v6.tex:743,2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:743,Context: {frame}{Position Measurement: END $ t$ is the Right Method},unverified,"\begin{frame}{Position Measurement: END $\Delta t$ is the Right Method}       \sigma_x = \frac{v_\text{eff}}{2}\,\sigma_{\Delta t}"
CL0509,presentations/v6/talk_v6.tex:745,7.9\mm,\sigmax,"/home/rrios/ej200/presentations/v6/figs/v5_veff_fit_meta.json; historical fit reproduced, no current timing validation","EJ-230, historical EndTop, N_TOP=20, fit over x; m=8",valid,\begin{frame}{Position Measurement: END $\Delta t$ is the Right Method}     At $m=8$: $\sigma_x = \sigmax$ with $v_\text{eff}=\veffEND$.\\
CL0510,presentations/v6/talk_v6.tex:745,177.6\mm/\text{ns},\veffEND,"/home/rrios/ej200/presentations/v6/figs/v5_veff_fit_meta.json; historical fit reproduced, no current timing validation","EJ-230, historical EndTop, N_TOP=20, fit over x; m=8",valid,\begin{frame}{Position Measurement: END $\Delta t$ is the Right Method}     At $m=8$: $\sigma_x = \sigmax$ with $v_\text{eff}=\veffEND$.\\
CL0511,presentations/v6/talk_v6.tex:745,8,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:745,Context: {frame}{Position Measurement: END $ t$ is the Right Method},unverified,\begin{frame}{Position Measurement: END $\Delta t$ is the Right Method}     At $m=8$: $\sigma_x = \sigmax$ with $v_\text{eff}=\veffEND$.\\
CL0512,presentations/v6/talk_v6.tex:751,12,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:751,Context: {frame}{Position Measurement: END $ t$ is the Right Method},unverified,\begin{frame}{Position Measurement: END $\Delta t$ is the Right Method}     Leave-one-out cross-validation on 12/13 positions.
CL0513,presentations/v6/talk_v6.tex:751,13,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:751,Context: {frame}{Position Measurement: END $ t$ is the Right Method},unverified,\begin{frame}{Position Measurement: END $\Delta t$ is the Right Method}     Leave-one-out cross-validation on 12/13 positions.
CL0514,presentations/v6/talk_v6.tex:752,17.2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:752,Context: {frame}{Position Measurement: END $ t$ is the Right Method},unverified,"\begin{frame}{Position Measurement: END $\Delta t$ is the Right Method}     Result: $\sigma_x = 17.2\mm$ (linear fit), \alert{$+29\mm$ bias at bar ends.}\\[4pt]"
CL0515,presentations/v6/talk_v6.tex:752,+29,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:752,Context: {frame}{Position Measurement: END $ t$ is the Right Method},unverified,"\begin{frame}{Position Measurement: END $\Delta t$ is the Right Method}     Result: $\sigma_x = 17.2\mm$ (linear fit), \alert{$+29\mm$ bias at bar ends.}\\[4pt]"
CL0516,presentations/v6/talk_v6.tex:753,2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:753,Context: {frame}{Position Measurement: END $ t$ is the Right Method},unverified,\begin{frame}{Position Measurement: END $\Delta t$ is the Right Method}     \alert{END method is 2× better with no edge bias.}
CL0517,presentations/v6/talk_v6.tex:756,\includegraphics[width=\linewidth]{figs/#1},\anafig,No independently matching source located; deck declaration only: presentations/v6/talk_v6.tex:20,Configuration not established from an independent source,unverified,\begin{frame}{Position Measurement: END $\Delta t$ is the Right Method}     \anafig{v5_top_position_loo}\\[2pt]
CL0518,presentations/v6/talk_v6.tex:766,20,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:766,Context: {frame}{Design Decision: EJ-230 + 20 TOP + 16 END},unverified,\begin{frame}{Design Decision: EJ-230 + 20 TOP + 16 END} \begin{frame}{Design Decision: EJ-230 + 20 TOP + 16 END}
CL0519,presentations/v6/talk_v6.tex:766,16,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:766,Context: {frame}{Design Decision: EJ-230 + 20 TOP + 16 END},unverified,\begin{frame}{Design Decision: EJ-230 + 20 TOP + 16 END} \begin{frame}{Design Decision: EJ-230 + 20 TOP + 16 END}
CL0520,presentations/v6/talk_v6.tex:770,3,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:770,Context: {frame}{Design Decision: EJ-230 + 20 TOP + 16 END},unverified,\begin{frame}{Design Decision: EJ-230 + 20 TOP + 16 END}     \begin{itemize}\setlength\itemsep{3pt}
CL0521,presentations/v6/talk_v6.tex:771,1.5,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:771,Context: {frame}{Design Decision: EJ-230 + 20 TOP + 16 END},unverified,"\begin{frame}{Design Decision: EJ-230 + 20 TOP + 16 END}       \item Scintillator: \textbf{EJ-230} ($\tau=1.5\ns$, $\lambda_\text{att}=1200\mm$)"
CL0522,presentations/v6/talk_v6.tex:771,1200,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:771,Context: {frame}{Design Decision: EJ-230 + 20 TOP + 16 END},unverified,"\begin{frame}{Design Decision: EJ-230 + 20 TOP + 16 END}       \item Scintillator: \textbf{EJ-230} ($\tau=1.5\ns$, $\lambda_\text{att}=1200\mm$)"
